Title,Authors,Pdf
Introduction,John Hutchins ,http://www.mt-archive.info/90/EAMT-1997-Hutchins.pdf
"Economics of translation tools -- Experience gained at
Swiss Bank Corporation",Doris Marty-Albisser ,http://www.mt-archive.info/90/EAMT-1997-Marty-Albisser.pdf
"EURAMIS, the platform of the EC Translator",Dimitri Theologitis ,http://www.mt-archive.info/90/EAMT-1997-Theologitis.pdf
Translation tools; to use or not to use?,Colin Brace ,http://www.mt-archive.info/90/EAMT-1997-Brace.pdf
When not to use MT and other translation tools,Terence Lewis ,http://www.mt-archive.info/90/EAMT-1997-Lewis.pdf
Why don't they use translation tools?,Hanne Fersøe ,http://www.mt-archive.info/90/EAMT-1997-Fersoe.pdf
Using the Logos server via Logos Windows Client,John Hatley ,http://www.mt-archive.info/90/EAMT-1997-Hatley.pdf
"The workflow in a document production environment
using translation tools",,http://www.mt-archive.info/90/EAMT-1997-Maegaard.pdf
Localizing Canon's user documentation in Europe,Tim O'Donoghue Localizing Canon's ,http://www.mt-archive.info/90/EAMT-1997-ODonoghue.pdf
PDF,Dirk Lueke ,http://www.mt-archive.info/90/EAMT-1997-Lueke.pdf
Introduction,,http://www.mt-archive.info/90/EAMT-1997-Hansen.pdf
"Providing multilingual term explanations in machine
aided translation",Walter von Hahn ,http://www.mt-archive.info/90/EAMT-1997-Hahn.pdf
Machine translation and controlled English,Herman Caeyers ,http://www.mt-archive.info/90/EAMT-1997-Caeyers.pdf
Summary and conclusions,Dimitri Theologitis ,http://www.mt-archive.info/90/EAMT-1997-Summary.pdf
"MT News
International  no. 17",,http://www.mt-archive.info/90/MTNI-17.pdf
