Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Discourse particles and routine formulas in spoken language translation	Manfred Stede and Birte Schmitz	http://www.mt-archive.info/90/SLT-1997-Stede.pdf			3-9	
A dialogue analysis model with statistical speech act processing for dialogue machine translation	Jae-won Lee and Gil Chang Kim and Jungyun Seo	http://www.mt-archive.info/90/SLT-1997-Lee.pdf			10-15	
Towards translating spoken language pragmatics in an analogical framework	Keiko Horiguchi	http://www.mt-archive.info/90/SLT-1997-Horiguchi-1.pdf			16-23	
Correct parts extraction from speech recognition results using semantic distance calculation, and its application to speech translation	Yumi Wakita and Jun Kawai and Hitoshi Iida	http://www.mt-archive.info/90/SLT-1997-Wakita.pdf			24-31	
A formal basis for spoken language translation by analogy	Keiko Horiguchi and Alexander Franz	http://www.mt-archive.info/90/SLT-1997-Horiguchi-2.pdf			32-39	
Dealing with multilinguality in a spoken language query translator	Pascale Fung and Bertram Shi and Dekai Wu and Lam Wai Bun and Wong Shuen Kong	http://www.mt-archive.info/90/SLT-1997-Fung.pdf			40-43	
Using categories in the EUTRANS system	J and C and Amengual and J.M.Benedi and F.Casacuberta and A.Castaño and A.Castellanos and D.Llorens and A.Marzal and F.Prat and E.Vidal and J.M.Vilar	http://www.mt-archive.info/90/SLT-1997-Amengual.pdf			44-53	
English-to-Mandarin speech translation with head transducers	Hiyan Alshawi and Fei Xia	http://www.mt-archive.info/90/SLT-1997-Alshawi.pdf			54-60	
Interactive speech translation in the DIPLOMAT project	Robert Frederking and Alexander Rudnicky and Christopher Hogan	http://www.mt-archive.info/90/SLT-1997-Frederking.pdf			61-66	
Expanding the domain of a multi-lingual speech-to-speech translation system	Alon Lavie and Lori Levin and Puming Zhan and Maite Taboada and Donna Gates and Mirella Lapata and Cortis Clark and Matthew Broadhead and Alex Waibel	http://www.mt-archive.info/90/SLT-1997-Lavie.pdf			67-72	
Translation methodology in the Spoken Language Translator: an evaluation	David Carter and Ralph Becket and Manny Rayner and Robert Eklund and Catriona MacDermid and Mats Wirén and Sabine Kirchmeier-Andersen and Christina Philp	http://www.mt-archive.info/90/SLT-1997-Carter.pdf			73-82	
Six issues in speech translation	Mark Seligman	http://www.mt-archive.info/90/SLT-1997-Seligman.pdf			83-91	
Combining situated reasoning with semantic transfer minimally	Tsutomu Fujinami	http://www.mt-archive.info/90/SLT-1997-Fujinami.pdf			92-93	
A Polish-to-English text-to-text translation system based on an electronic dictionary	Krzysztof Jassem	http://www.mt-archive.info/90/SLT-1997-Jassem.pdf			94-95	
Spoken language translation with the ITSVox system	Eric Wehrli and Jean-Luc Cochard	http://www.mt-archive.info/SLT-1997-Wehrli.pdf			96-97	
