Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Systran’s contribution to mankind.	Peter Toma	http://www.mt-archive.info/70/T&T-1986-Toma.pdf			1-6	
Current Systran developments at the EC Commission.	Ian M.Pigott	http://www.mt-archive.info/70/T&T-1986-Pigott.pdf			10-16	
Systran – the translator’s viewpoint.	Andrew D.C.Evans	http://www.mt-archive.info/70/T&T-1986-Evans.pdf			17-23	
Avantages pour l’utilisateur.	Luciano D’Erman				24-25	
Infrastructure technique	Ezio Fiamozzi				26	
Session 2, présidence.	Loll Rolling				27-28	
Provision and use of raw machine translation.	F.W.A.Habermann	http://www.mt-archive.info/70/T&T-1986-Habermann.pdf			29-42	
Provision of Systran mainframe production service.	James Houston	http://www.mt-archive.info/70/T&T-1986-Houston.pdf			43-47	
Machine translation in bureau service.	José Mendez	http://www.mt-archive.info/70/T&T-1986-Mendez.pdf			48-53	
Systran for ESPRIT and ECAT bureau service.	Leonard Siebenaler	http://www.mt-archive.info/70/T&T-1986-Siebenaler.pdf			54-60	
Systran Maschinenübersetzung bei Dornier.	Leonard Rudorfer				61-62	
Summary of the panel discussion on sessions 1 and 2.  	Loll Rolling	http://www.mt-archive.info/70/T&T-1986-Rolling.pdf			63-64	
Changing attitudes in the translation market.	Veronica Lawson	http://www.mt-archive.info/70/T&T-1986-Lawson.pdf			65-67	
Machine translation in the USAF	Dale Bostad	http://www.mt-archive.info/70/T&T-1986-Bostad.pdf			68-72	
The impact of controlled English on machine translation	J.Richard Ruffino and Peter F.Demauro	http://www.mt-archive.info/70/T&T-1986-Ruffino.pdf			73-77	
Systran Japanese systems	Eriko Akazawa	http://www.mt-archive.info/70/T&T-1986-Akazawa.pdf			78-89	
Difficultés de la traduction en langue arabe	S.Trabulsi				90-95	
Translations that communicate	Stanley P.Sereda	http://www.mt-archive.info/70/T&T-1986-Sereda.pdf			96-101	
The importance of word processing in the user environment	Peter A.Walker	http://www.mt-archive.info/70/T&T-1986-Walker.pdf			102-111	
Ensuring compatability in the Systran environment	Thomas Pahl	http://www.mt-archive.info/70/T&T-1986-Pahl.pdf			112-117	
Improving machine translation quality or eliminating the “invisible idiot”	Jeanne Homer	http://www.mt-archive.info/70/T&T-1986-Homer.pdf			118-127	
Le developpement de nouveaux couples de langues	Juan Paez				146-151	
Dictionary coordination	Jacqueline Guazzo-Jansen	http://www.mt-archive.info/70/T&T-1986-Guazzo.pdf			152-172	
Summary of the open discussion on sessions 3, 4 and 5	Juan Sager	http://www.mt-archive.info/70/T&T-1986-Sager-1.pdf			173-174	
Conclusions	Juan C.Sager	http://www.mt-archive.info/70/T&T-1986-Sager-2.pdf			175-180	
Summary record of the workshop on post-editing		http://www.mt-archive.info/70/T&T-1986-WS-PE.pdf			181-182	
Summary record of the workshop on word processing		http://www.mt-archive.info/70/T&T-1986-WS-WP.pdf			183-185	
Summary record of the workshop on user requirements		http://www.mt-archive.info/70/T&T-1986-WS-Users.pdf			186-188	
Summary record of the workshop on cooperation in new developments		http://www.mt-archive.info/70/T&T-1986-WS-Coop.pdf			189-190	
