Title	Authors	Pdf
Introductions	Maegaard, Bente and Hutchins,John	http://www.mt-archive.info/05/EAMT-2008-introductions.pdf
Abstracts of invited talks	talks, Abstracts of invited	http://www.mt-archive.info/05/EAMT-2008-invited.pdf
Shaping research from user requirements, and other exotic things	Cancedda, Nicola	
Still looking for the proper place? A view on machine translation from a translation service perspective	Reinke, Uwe	
Arabic/English word translation disambiguation using parallel corpora and matching schemes	Ahmed, Farag and Nürnberger, Andreas	http://www.mt-archive.info/05/EAMT-2008-Ahmed.pdf
Identification of idioms by machine translation: a hybrid research system vs. three commercial systems	Anastasiou, Dimitra	http://www.mt-archive.info/05/EAMT-2008-Anastasiou.pdf
Modelling human translator behaviour with user-activity data	Carl, Michael and Jakobsen, Arnt Lykke and Jensen , Kristian T.H.	http://www.mt-archive.info/05/EAMT-2008-Carl.pdf
Hybrid machine translation architectures within and beyond the EuroMatrix project	Eisele, Andreas and Federmann, Christian and Uszkoreit, Hans and Saint-Amand, Hervé and Kay, Martin and Jellinghaus, Michael and Hunsicker, Sabine and Herrmann, Teresa and Chen, Yu	http://www.mt-archive.info/05/EAMT-2008-Eisele.pdf
Peculiarities of the development of the dictionary for the MT system from Azerbaijani	Fatullayev, Rauf and Abbasov, Ali and Fatullayev, Abulfat	http://www.mt-archive.info/05/EAMT-2008-Fatullayev.pdf
A finite-state framework for log-linear models in machine translation	González, Jorge and Casacuberta, Francisco	http://www.mt-archive.info/05/EAMT-2008-Gonzalez.pdf
A novel alignment model inspired on IBM Model 1	González-Rubio, Jesús and Sanchis-Trilles, Germán and Juan, Alfons and Casacuberta, Francisco	http://www.mt-archive.info/05/EAMT-2008-Gonzalez-Rubio.pdf
Packed rules for automatic transfer-rule induction	Graham, Yvette and van Genabith, Josef	http://www.mt-archive.info/05/EAMT-2008-Graham.pdf
Modified Dijkstra-like search algorithm for English to Arabic machine translation system	Hatem, Ahmed and Nassar, Amin	http://www.mt-archive.info/05/EAMT-2008-Hatem.pdf
Improving machine translation between closely related Romance languages	Homola, Petr and Kuboň, Vladislav	http://www.mt-archive.info/05/EAMT-2008-Homola.pdf
Translating emphatic/contrastive focus from English to Mandarin Chinese	Kuo, Chen-li and Ramsay, Allan	http://www.mt-archive.info/05/EAMT-2008-Kuo.pdf
Applying boosting to statistical machine translation	Lagarda, Antonio L. and Casacuberta, Francisco	http://www.mt-archive.info/05/EAMT-2008-Lagarda.pdf
Word association models and search strategies for discriminative word alignment	Lambert, Patrik and Banchs, Rafael E.	http://www.mt-archive.info/05/EAMT-2008-Lambert.pdf
Automatic alignment of Czech and English deep syntactic dependency trees	Mareček, David and Žabokrtský, Zdeněk and Novák, Václav	http://www.mt-archive.info/05/EAMT-2008-Marecek.pdf
Explorations in using grammatical dependencies for contextual phrase translation disambiguation	Max, Aurélien and Makhloufi, Rafik and Langlais, Philippe	http://www.mt-archive.info/05/EAMT-2008-Max.pdf
Multilingual summarization in practice: the case of patent claims	Mille, Simon and Wanner, Leo	http://www.mt-archive.info/05/EAMT-2008-Mille.pdf
A machine translationness typology for MT evaluations	Moré López, Joaquim and Climent Roca, Salvador	http://www.mt-archive.info/05/EAMT-2008-More-Lopez.pdf
Two-step flow in bilingual lexicon extraction from unrelated corpora	Nazar, Rogelio and Wanner, Leo and Vivaldi, Jorge	http://www.mt-archive.info/05/EAMT-2008-Nazar.pdf
Domain specific MT in use	Offersgaard, Lene and Povlsen, Claus and Almsten, Lisbeth and Maegaard, Bente	http://www.mt-archive.info/05/EAMT-2008-Offersgaard.pdf
Phrase-level alignment generation using a smoothed loglinear phrase-based statistical alignment model	Ortiz-Martínez, Daniel and García-Varea, Ismael and Casacuberta, Francisco	http://www.mt-archive.info/05/EAMT-2008-Ortiz-Martinez.pdf
Learning context-sensitive synchronous rules	Søgaard, Anders	http://www.mt-archive.info/05/EAMT-2008-Sogaard.pdf
Comparing two different bidirectional versions of the limited-domain medical spoken language translator MedSLT	Starlander, Marianne and Bouillon, Pierrette and Flores, Glenn and Rayner, Manny and Tsourakis, Nikos	http://www.mt-archive.info/05/EAMT-2008-Starlander.pdf
Processing of Swedish compounds for phrase-based statistical machine translation	Stymne, Sara and Holmquist, Maria	http://www.mt-archive.info/05/EAMT-2008-Stymne.pdf
Boosting performance of weak MT engines automatically: using MT output to align segments & build statistical post-editors	Voss, Clare R. And Aguirre, Matthew and Micher, Jeffrey and Chang, Richard and Laoudi, Jamal and Hobbs, Reginald	http://www.mt-archive.info/05/EAMT-2008-Voss.pdf
