Title	Authors	Pdf	Presentation	Volume_Name	Raw_webtext
Full proceedings	, List of papers	http://www.mt-archive.info/15/EAMT-2015-proceedings.pdf			Full proceedings
List of papers 
Invited Talk 
What we want, what we need, what we absolutely can’t do without – an enterprise user’s perspective on machine translation technology and stuff around it	Beregovaya, Olga	http://www.mt-archive.info/15/EAMT-2015-Beregovaya.pdf		Invited Talk 	What we want, what we need, what we absolutely can’t do without – an enterprise user’s  perspective on machine translation technology and stuff around it 
Research papers                                                                                        
Exploiting portability to build an RBMT prototype for a new source language	Aranberri, Nora and Labaka, Gorka and de Ilarraza, Arantza Díaz and Sarasola, Kepa	http://www.mt-archive.info/15/EAMT-2015-Aranberri.pdf		Research papers                                                                                        	Exploiting portability to build an RBMT prototype for a new source   language 
Building hybrid machine translation systems by using an EBMT preprocessor to create partialtranslations	Artetxe, Mikel and Labaka, Gorka and Sarasola, Kepa	http://www.mt-archive.info/15/EAMT-2015-Artetxe.pdf		Research papers                                                                                        	Building hybrid machine translation systems by using an EBMT preprocessor  to   create partialtranslations 
Using on‐line available sources of bilingual information for word‐level machine translation quality estimation	Esplá‐Gomis, Miquel and Sánchez‐Martínez, Felipe and Forcada, Mikel L.	http://www.mt-archive.info/15/EAMT-2015-Espla-Gomis.pdf		Research papers                                                                                        	Using on‐line available sources of bilingual information for   word‐level  machine translation   quality estimation 
A general framework for minimizing translation effort: towards a principled combination of translation technologies in computer‐aided translation	Forcada, Mikel L. and Sánchez‐Martínez, Felipe	http://www.mt-archive.info/15/EAMT-2015-Forcada.pdf		Research papers                                                                                        	A general framework for minimizing translation effort: towards a   principled  combination of translation   technologies in computer‐aided translation 
Can Translation Memories afford not to use paraphrasing	Gupta, Rohit and Orasan, Constantin and Zampieri, Marcos and Vela, Mihaela and van Genabith, Josef	http://www.mt-archive.info/15/EAMT-2015-Gupta.pdf		Research papers                                                                                        	Can   Translation Memories afford not to use paraphrasing? 
Dependency‐based Reordering Model for Constituent Pairs in Hierarchical SMT	Kazemiy, Arefeh and Toral, Antonio and Way, Andy and Monadjemiy, Amirhassan	http://www.mt-archive.info/15/EAMT-2015-Kazemiy.pdf		Research papers                                                                                        	Dependency‐based Reordering Model for Constituent Pairs in   Hierarchical SMT 
The role of artificially generated negative data for quality estimation of machine translation	Logacheva, Varvara and Specia, Lucia	http://www.mt-archive.info/15/EAMT-2015-Logacheva.pdf		Research papers                                                                                        	The role of artificially generated negative data for quality   estimation of  machine translation 
Document‐Level Machine Translation with Word Vector Models	Garcia, Eva Martinez and Espana‐Bonet, Cristina and Marquez, Lluis	http://www.mt-archive.info/15/EAMT-2015-Martinez.pdf		Research papers                                                                                        	Document‐Level Machine Translation with Word Vector Models 
The potential and limits of lay post‐editing in an online community	Mitchell, Linda	http://www.mt-archive.info/15/EAMT-2015-Mitchell.pdf		Research papers                                                                                        	The potential and   limits of lay post‐editing in an online community 
Post‐Editing Evaluations: Trade‐offs between Novice and Professional Participants	Moorkens, Joss and O’Brien, Sharon	http://www.mt-archive.info/15/EAMT-2015-Moorkens.pdf		Research papers                                                                                        	Post‐Editing   Evaluations: Trade‐offs between Novice and Professional Participants 
Benchmarking SMT Performance for Farsi Using the TEP++ Corpus	Passban, Peyman and Way, Andy and Liu, Qun	http://www.mt-archive.info/15/EAMT-2015-Passban.pdf		Research papers                                                                                        	Benchmarking SMT   Performance for Farsi Using the TEP++ Corpus 
Dynamic Terminology Integration Methods in Statistical Machine Translation	Pinnis, Marcis	http://www.mt-archive.info/15/EAMT-2015-Pinnis.pdf		Research papers                                                                                        	Dynamic   Terminology Integration Methods in Statistical Machine Translation 
Identifying main obstacles for statistical machine translation of morphologically rich South Slavic languages	Popovic, Maja and Arcan, Mihael	http://www.mt-archive.info/15/EAMT-2015-Popovic-1.pdf		Research papers                                                                                        	Identifying main   obstacles for statistical machine translation of  morphologically rich South Slavic languages 
Poor man’s lemmatisation	Popovic, Maja and Arcan, Mihael and Avramidis, Eleftherios and Burchardt, Aljoscha	http://www.mt-archive.info/15/EAMT-2015-Popovic-2.pdf		Research papers                                                                                        	Poor man’s   lemmatisation for automatic   error classification
Truly Exploring Multiple References for Machine Translation Evaluation	Qin, Ying and Specia, Lucia	http://www.mt-archive.info/15/EAMT-2015-Qin.pdf		Research papers                                                                                        	Truly Exploring Multiple References for Machine   Translation Evaluation 
Searching for Context: a Study on Document‐Level Labels for Translation Quality Estimation	Scarton, Carolina and Zampieri, Marcos and Vela, Mihaela and van Genabith, Josef and Specia, Lucia	http://www.mt-archive.info/15/EAMT-2015-Scarton.pdf		Research papers                                                                                        	Searching for   Context: a Study on Document‐Level Labels  for Translation Quality Estimation 
Stripping Adjectives: Integration Techniques for Selective Stemming in SMT Systems	Slawik, Isabel and Niehues, Jan and Waibel, Alex	http://www.mt-archive.info/15/EAMT-2015-Slawik.pdf		Research papers                                                                                        	Stripping   Adjectives: Integration Techniques for    Selective Stemming in SMT Systems 
Evaluating machine translation for assimilation via a gap‐filling task	Ageeva, E Ekaterina and Tyers, Francis M. and Forcada, Mikel L. and Pérez‐Ortiz, Juan Antonio	http://www.mt-archive.info/15/EAMT-2015-Ageeva.pdf		Research papers                                                                                        	Evaluating   machine translation for assimilation via a gap‐filling task 
Unsupervised training of maximum‐entropy models for lexical selection i in rule‐based machine translation	Tyers, F Francis M. and Sánchez‐Martinez, Felipe and Forcada, Mikel L.	http://www.mt-archive.info/15/EAMT-2015-Tyers.pdf		Research papers                                                                                        	            Unsupervised   training of maximum‐entropy models for lexical selection      i        in rule‐based   machine translation 
Assessing linguistically aware fuzzy matching in translation memories	Vanallemeersch, T Tom and Vandeghinste, Vincent	http://www.mt-archive.info/15/EAMT-2015-Vanallemeersch.pdf		Research papers                                                                                        	A         Assessing   linguistically aware fuzzy matching in translation memories 
Re‐assessing the WMT2013 Human Evaluation with Professional Translators Trainees	Large, Integrating a and into, Monolingual Corpus as Translation Memory	http://www.mt-archive.info/15/EAMT-2015-Vela.pdf		Research papers                                                                                        	Re‐assessing the WMT2013 Human Evaluation with Professional Translators Trainees 
Integrating a Large, Monolingual Corpus as Translation Memory into Statistical Machine translation	Wäschle, Katharina and Riezler, Stefan	http://www.mt-archive.info/15/EAMT-2015-Waschle.pdf		Research papers                                                                                        	Integrating a Large, Monolingual Corpus as Translation Memory into  
Statistical Machine translation	Wäschle, Katharina and Riezler, Stefan	http://www.mt-archive.info/15/EAMT-2015-Waschle.pdf		Research papers                                                                                        	Statistical Machine translation 
TargetSide Generation of Prepositions for SMT	Evaluation, Word Alignment Based Parallel Corpora	http://www.mt-archive.info/15/EAMT-2015-Weller.pdf		Research papers                                                                                        	TargetSide Generation of Prepositions for SMT 
Word Alignment Based Parallel Corpora Evaluation and Cleaning Using Machine Learning Techniques	papers, User	http://www.mt-archive.info/15/EAMT-2015-Zarina.pdf		Research papers                                                                                        	Word Alignment Based Parallel Corpora Evaluation 
and Cleaning Using Machine Learning Techniques	papers, User	http://www.mt-archive.info/15/EAMT-2015-Zarina.pdf		Research papers                                                                                        	and Cleaning Using Machine Learning Techniques 
User   papers                                                                                                 
Content Translation: Computer‐assisted translation tool for Wikipedia articles	Laxström, Niklas and Giner, Pau and Thottingal, Santhosh	http://www.mt-archive.info/15/EAMT-2015-Laxstrom.pdf		User   papers                                                                                                 	Content   Translation: Computer‐assisted translation  tool for Wikipedia articles 
Pre‐reordering for Statistical Machine Translation of Non‐fictional Subtitles	Plamada, Magdalena and Linder, Gion and Ströbel, Phillip and Volk, Martin	http://www.mt-archive.info/15/EAMT-2015-Plamada.pdf		User   papers                                                                                                 	Pre‐reordering   for Statistical Machine Translation of Non‐fictional Subtitles. 
SMT at the International Maritime Organization experiences with combining in‐house corpus with more general corpus	Pouliquen, Bruno and Junczys‐Dowmunt, Marcin and Pinero, Blanca and Ziemski, Michał	http://www.mt-archive.info/15/EAMT-2015-Pouliquen.pdf		User   papers                                                                                                 	SMT at   the International Maritime Organization:  
experiences with combining in‐house corpus with more general corpus	Pouliquen, Bruno and Junczys‐Dowmunt, Marcin and Pinero, Blanca and Ziemski, Michał	http://www.mt-archive.info/15/EAMT-2015-Pouliquen.pdf		User   papers                                                                                                 	experiences   with combining in‐house corpus with more general corpus 
Evaluation of the domain adaptation of MT systems in ACCURAT	Thurmair, Gregor	http://www.mt-archive.info/15/EAMT-2015-Thurmair.pdf		User   papers                                                                                                 	Evaluation   of the domain adaptation of MT systems in ACCURAT 
Project/product descriptions                                                               
MixedEmotions Big Data Analytics Markets	Arcan, Mihael and Buitelaar, Paul	http://www.mt-archive.info/15/EAMT-2015-MixedEmotions.pdf		Project/product descriptions                                                               	MixedEmotions: Social   Semantic Emotion Analysis for Innovative Multilingual  
Big Data Analytics Markets	Arcan, Mihael and Buitelaar, Paul	http://www.mt-archive.info/15/EAMT-2015-MixedEmotions.pdf		Project/product descriptions                                                               	Big Data   Analytics Markets 
The ACCEPT Academic Portal Post‐editing into a Learning Environment	Bouillon, Pierrette and Gerlach, Johanna and Gulati, Asheesh and Porro, Victoria and Seretan, Violeta	http://www.mt-archive.info/15/EAMT-2015-Bouillon.pdf		Project/product descriptions                                                               	The   ACCEPT Academic Portal: Bringing   Together Pre‐editing, MT and  
Post‐editing into a Learning Environment	Bouillon, Pierrette and Gerlach, Johanna and Gulati, Asheesh and Porro, Victoria and Seretan, Violeta	http://www.mt-archive.info/15/EAMT-2015-Bouillon.pdf		Project/product descriptions                                                               	Post‐editing   into a Learning Environment 
Russian‐Chinese Sentence‐level Aligned News Corpus 	Du, Wenjun and Liu, Wuying and Yu, Junting and Yi, Mianzhu	http://www.mt-archive.info/15/EAMT-2015-Du.pdf		Project/product descriptions                                                               	Russian‐Chinese   Sentence‐level Aligned News Corpus  
HimL (Health in my Language)	Haddow, Barry	http://www.mt-archive.info/15/EAMT-2015-HimL.pdf		Project/product descriptions                                                               	HimL (Health   in my Language) 
MT‐enhanced fuzzy matching with Transit NXT and STAR Moses	Hofmann, Nadira	http://www.mt-archive.info/15/EAMT-2015-Hofmann.pdf		Project/product descriptions                                                               	MT‐enhanced   fuzzy matching with Transit NXT and STAR Moses 
