Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Rapid prototyping of a transfer-based Hebrew-to-English machine translation system	Alon Lavie and Erik Peterson and Katharina Probst and Shuly Wintner and Yaniv Eytani	http://www.mt-archive.info/00/TMI-2004-Lavie.pdf			1-10	
Som å kapp-ete med trollet? -- Towards MRS-based Norwegian-English machine translation	Stephan Oepen and Helge Dyvik and Jan Tore Lønning and Erik Velldal and Dorothee Beerman and John Carroll and Dan Flickinger and Lars Hellan and Janne Bondi Johannessen and Paul Meurer and Torbjørn Nordgård and Victoria Rosén	http://www.mt-archive.info/00/TMI-2004-Oepen.pdf			11-20	
Comparing rule-based and statistical approaches to speech understanding in a limited domain speech translation system	Manny Rayner and Pierrette Bouillon and Beth Ann Hockey and Nikos Chatzichrisafis and Marianne Starlander	http://www.mt-archive.info/00/TMI-2004-Rayner.pdf			21-29	
Non-contiguous tree parsing	Mark Dras and Chung-hye Han	http://www.mt-archive.info/00/TMI-2004-Dras.pdf			30-39	
Algorithms for syntax-aware statistical machine translation	I.Dan Melamed	http://www.mt-archive.info/00/TMI-2004-Melamed.pdf			40-54	
An automatic method of creating valency entries using plain bilingual dictionaries	Sanae Fujita and Francis Bond	http://www.mt-archive.info/00/TMI-2004-Fujita.pdf			55-64	
Spatial and planning models of ASL classifier predicates for machine translation	Matt Huenerfauth	http://www.mt-archive.info/00/TMI-2004-Huenerfauth.pdf			65-74	
A learning approach to improving sentence-level MT evaluation	Alex Kulesza and Stuart M. Shieber	http://www.mt-archive.info/00/TMI-2004-Kulesza.pdf			75-84	
Measuring confidence intervals for the machine translation evaluation metrics	Ying Zhang and Stephan Vogel	http://www.mt-archive.info/00/TMI-2004-Zhang.pdf			85-94	
Robust large-scale EBMT with marker-based segmentation	Nano Gough and Andy Way	http://www.mt-archive.info/00/TMI-2004-Gough.pdf			95-104	
Method for retrieving a similar sentence and its application to machine translation	Mitsuo Shimohata and Eiichiro Sumita and Yuji Matsumoto	http://www.mt-archive.info/00/TMI-2004-Shimohata.pdf			105-114	
Adapted seed lexicon and combined bidirectional similarity measures for translation equivalent extraction from comparable corpora	Hiroyuki Kaji	http://www.mt-archive.info/00/TMI-2004-Kaji.pdf			115-124	
Statistical machine translation using labeled semantic dependency graphs	Anthony Aue and Arul Menezes and Bob Moore and Chris Quirk and Eric Ringger	http://www.mt-archive.info/00/TMI-2004-Aue.pdf			125-134	
Cooperative unsupervised training of the part-of-speech taggers in a bidirectional machine translation system	Felipe Sánchez-Martínez and Juan Antonio Pérez-Ortiz and Mikel L. Forcada	http://www.mt-archive.info/00/TMI-2004-Sanchez.pdf			135-144	
Latest challenges to MT R&D.	Harold Somers					
