Title	Authors	Pdf	Presentation	Volume_Name
"Real Voices: What translators do and why we need to keep doing it"	"Nicholas Hartmann"	http://www.mt-archive.info/10/AMTA-2010-Hartmann.pdf		"Keynote Presentations"
"Discriminative Syntactic Reranking for Statistical Machine Translation"	"Simon Carter and Christof Monz"	http://www.mt-archive.info/10/AMTA-2010-Carter.pdf		"MT Research Program Papers: Oral and Poster Presentations"
"Fast Approximate String Matching with Suffix Arrays and A* Parsing"	"Philipp Koehn and Jean Senellart"	http://www.mt-archive.info/10/AMTA-2010-Koehn.pdf		"MT Research Program Papers: Oral and Poster Presentations"
"Combining Confidence Estimation and Reference-based Metrics for Segment-level MT Evaluation"	"Lucia Specia and Jesús Giménez"	http://www.mt-archive.info/10/AMTA-2010-Specia.pdf		"MT Research Program Papers: Oral and Poster Presentations"
"The Impact of Arabic Morphological Segmentation on Broad-coverage English-to-Arabic Statistical Machine Translation"	"Hassan Al-Haj and Alon Lavie"	http://www.mt-archive.info/10/AMTA-2010-AlHaj.pdf		"MT Research Program Papers: Oral and Poster Presentations"
"Arabic Dialect Handling in Hybrid Machine Translation"	"Hassan Sawaf"	http://www.mt-archive.info/10/AMTA-2010-Sawaf.pdf		"MT Research Program Papers: Oral and Poster Presentations"
"Coupling Statistical Machine Translation with Rule-based Transfer and Generation"	"Arafat Ahsan and Prasanth Kolachina and Sudheer Kolachina and Dipti Misra and Rajeev Sangal"	http://www.mt-archive.info/10/AMTA-2010-Ahsan.pdf		"MT Research Program Papers: Oral and Poster Presentations"
"Semantically-Informed Syntactic Machine Translation: A Tree-Grafting Approach"	"Kathryn Baker and Michael Bloodgood and Chris Callison-Burch and Bonnie Dorr and Nathaniel Filardo and Lori Levin and Scott Miller and Christine Piatko"	http://www.mt-archive.info/10/AMTA-2010-Baker.pdf		"MT Research Program Papers: Oral and Poster Presentations"
"A Cocktail of Deep Syntactic Features for Hierarchical Machine Translation"	"Daniel Stein and Stephan Peitz and David Vilar and Hermann Ney"	http://www.mt-archive.info/10/AMTA-2010-Stein.pdf		"MT Research Program Papers: Oral and Poster Presentations"
"Using TERp to Augment the System Combination for SMT"	"Jinhua Du and Andy Way"	http://www.mt-archive.info/10/AMTA-2010-Du.pdf		"MT Research Program Papers: Oral and Poster Presentations"
"f-align: An Open-Source Alignment Tool for LFG f-Structures"	"Anton Bryl and Josef van Genabith"	http://www.mt-archive.info/10/AMTA-2010-Bryl.pdf		"MT Research Program Papers: Oral and Poster Presentations"
"Improved Phrase-based SMT with Syntactic Reordering Patterns Learned from Lattice Scoring"	"Jie Jiang and Jinhua Du and Andy Way"	http://www.mt-archive.info/10/AMTA-2010-Jiang.pdf		"MT Research Program Papers: Oral and Poster Presentations"
"Transliterating From All Languages"	"Ann Irvine and Chris Callison-Burch and Alexandre Klementiev"	http://www.mt-archive.info/10/AMTA-2010-Irvine.pdf		"MT Research Program Papers: Oral and Poster Presentations"
