Title	Authors	Pdf	Presentation	Volume_Name	Raw_webtext
Envisioning Machine Translation in the Information Future
4th conference of the Association for Machine Translation in the Americas, AMTA 2000,
Cuernavaca
Edited by John S. White
Berlin/Heidelberg/New York: Springer Verlag, 2000
ISBN: 3-540-41117-8
(Lecture Notes in Artificial Intelligence; Lecture Notes in Computer Science 1934)
Table of Contents
[For copyright reasons these papers are only available directly from the 
Tutorial descriptions 
Ontological semantics	Sergei Nirenburg			Tutorial descriptions 	Sergei Nirenburg: Ontological semantics
A gentle introduction to MT: theory and current practice	Eduard Hovy			Tutorial descriptions 	Eduard Hovy: A gentle introduction to MT: theory and current practice
Controlled languages	Teruko Mitamura and Eric Nyberg			Tutorial descriptions 	Teruko Mitamura and Eric Nyberg: Controlled languages
Statistical machine translation	Kevin Knight			Tutorial descriptions 	Kevin Knight: Statistical machine translation
The diversity and distribution of languages	Laurie Gerber			Tutorial descriptions 	Laurie Gerber: The diversity and distribution of languages
MTranslatability	Arendse Bernth and Claudia Gdaniec			Tutorial descriptions 	Arendse Bernth and Claudia Gdaniec: MTranslatability
Technical papers
Building a Chinese-English mapping between verb concepts for multilingual applications	Bonnie J. Dorr and Gina-Anne Levow and Dekang Lin			Technical papers	Bonnie J. Dorr, Gina-Anne Levow, and Dekang Lin: Building a Chinese-English mapping between verb concepts for multilingual applications -- pp.1-12
Applying machine translation to two-stage cross-language information retrieval	Atsushi Fujii and Tetsuya Ishikawa			Technical papers	Atsushi Fujii and Tetsuya Ishikawa: Applying machine translation to two-stage cross-language information retrieval -- pp.13-24
Mixed-initiative translation of Web pages	Michael Fleming and Robin Cohen			Technical papers	Michael Fleming and Robin Cohen: Mixed-initiative translation of Web pages -- pp.25-29
A self-learning method of parallel texts alignment	António Ribeiro and Gabriel Lopes and João Mexia			Technical papers	António Ribeiro, Gabriel Lopes, and João Mexia: A self-learning method of parallel texts alignment -- pp. 30-39
Handling structural divergences and recovering dropped arguments in a Korean/English machine translation system	Chung-hye Han and Benoit Lavoie and Martha Palmer and Owen Rambow and Richard Kittredge and Tanya Korelsky and Nari Kim and Myunghee Kim			Technical papers	Chung-hye Han, Benoit Lavoie, Martha Palmer, Owen Rambow, Richard Kittredge, Tanya Korelsky, Nari Kim, and Myunghee Kim: Handling structural divergences and recovering dropped arguments in a Korean/English machine translation system -- pp. 40-53
A machine translation system from English to American Sign Language	Liwei Zhao and Karin Kipper and William Schuler and Christian Vogler and Norman Badler and Martha Palmer			Technical papers	Liwei Zhao, Karin Kipper, William Schuler, Christian Vogler, Norman Badler, and Martha Palmer: A machine translation system from English to American Sign Language -- pp. 54-67
Oxygen: a language independent linearization engine	Nizar Habash			Technical papers	Nizar Habash: Oxygen: a language independent linearization engine -- pp. 68-79
Information structure transfer: bridging the information gap in structurally different languages	Margo Budzikowa			Technical papers	Margo Budzikowa: Information structure transfer: bridging the information gap in structurally different languages -- pp. 80-88
The effect of source analysis on translation confidence	Arendse Bernth and Michael C. McCord			Technical papers	Arendse Bernth and Michael C. McCord: The effect of source analysis on translation confidence -- pp. 89-99
Contemplating automatic MT evaluation	John S. White			Technical papers	John S. White: Contemplating automatic MT evaluation -- pp. 100-108
How are you doing? A look at MT evaluation	Michelle Vanni and Florence Reeder			Technical papers	Michelle Vanni and Florence Reeder: How are you doing? A look at MT evaluation -- pp. 109-116
Recycling annotated parallel corpora for bilingual document composition	Arantza Casillas and Joseba Abaitua and Raquel Martínez			Technical papers	Arantza Casillas, Joseba Abaitua, and Raquel Martínez: Recycling annotated parallel corpora for bilingual document composition -- pp. 117-126
Combining invertible example-based machine translation with translation memory technology	Michael Carl			Technical papers	Michael Carl: Combining invertible example-based machine translation with translation memory technology -- pp. 127-136
What's been forgotten in translation memory	Elliott Macklovitch and Graham Russell			Technical papers	Elliott Macklovitch and Graham Russell: What's been forgotten in translation memory -- pp.137-146
Understanding politics by studying weather: a cognitive approach to representation of Polish verbs of motion, appearance, and existence	Barbara Gawronska and Hannah Duczak		http://www.mt-archive.info/00/AMTA-2000-TOC.htm	Technical papers	Barbara Gawronska and Hannah Duczak: Understanding politics by studying weather: a cognitive approach to representation of Polish verbs of motion, appearance, and existence -- pp. 147-157
Small but efficient: the misconception of high-frequency words in Scandinavian translation	Pernilla Danielsson and Katarina Mühlenbock			Technical papers	Pernilla Danielsson and Katarina Mühlenbock: Small but efficient: the misconception of high-frequency words in Scandinavian translation -- pp.158-168
Challenges in adapting an interlingua for bidirectional English-Italian translation	Violetta Cavalli-Sforza and Krzysztof Czuba and Teruko Mitamura and Eric Nyberg			Technical papers	Violetta Cavalli-Sforza, Krzysztof Czuba, Teruko Mitamura, and Eric Nyberg: Challenges in adapting an interlingua for bidirectional English-Italian translation -- pp.169-178
Text meaning representation as a basis for representation of text interpretation	Stephen Helmreich and David Farwell		http://www.mt-archive.info/00/AMTA-2000-TOC.htm	Technical papers	Stephen Helmreich and David Farwell: Text meaning representation as a basis for representation of text interpretation -- pp. 179-188
System descriptions
MT-based transparent Arabization of the Internet TARJIM.COM	Achraf Chalabi			System descriptions	Achraf Chalabi: MT-based transparent Arabization of the Internet TARJIM.COM -- pp. 189-191
The KANTOO machine translation environment	Eric Nyberg and Teruko Mitamura			System descriptions	Eric Nyberg and Teruko Mitamura: The KANTOO machine translation environment -- pp.192-195
Pacific Rim portable translator	John Weisgerber and Jin Yang and Pete Fisher			System descriptions	John Weisgerber, Jin Yang, and Pete Fisher: Pacific Rim portable translator -- pp.196-201
LabelTool: a localization application for devices with restricted display areas	Jimmy C.M. Lu and Lars Åkerman and Karin Spalink			System descriptions	Jimmy C.M. Lu, Lars Åkerman, and Karin Spalink: LabelTool: a localization application for devices with restricted display areas -- pp. 202-208
The LogoVista ES translation system	Nan Decker			System descriptions	Nan Decker: The LogoVista ES translation system -- pp.209-212
L&H lexicography toolkit for machine translation	Timothy Meekhof and David Clements			System descriptions	Timothy Meekhof and David Clements: L&H lexicography toolkit for machine translation -- pp. 213-218
A new look for the PAHO MT system	Marjorie León			System descriptions	Marjorie León: A new look for the PAHO MT system -- pp. 219-222
User studies
Is MT software documentation appropriate for MT users?	David Mowatt and Harold Somers			User studies	David Mowatt and Harold Somers: Is MT software documentation appropriate for MT users? -- pp. 223-238
Evaluating embedded machine translation in military field exercises	M.Holland and C. Schlesinger and C. Tate			User studies	M.Holland, C. Schlesinger, and C. Tate: Evaluating embedded machine translation in military field exercises -- pp. 239-247
