Title	Authors	Pdf	Presentation	Volume_Name	Notes
A Human-Aided Machine Translation System for Japanese-English Patent Translation	Christoph Neumann	http://www.mt-archive.info/05/MTS-2005-Neumann.pdf			Patent translation
Embedding MT for Generating Patent Claims in English from a Multilingual Interface	Svetlana Sheremetyeva	http://www.mt-archive.info/05/MTS-2005-Sheremetyeva-1.pdf			Patent translation
Classification of Modified Relationships in Japanese Patent Sentences	Shoichi Yokoyama and Yuya Kaneda	http://www.mt-archive.info/05/MTS-2005-Yokoyama.pdf			Patent translation
Constant-Sense Connection Paths	Einat H. Nir and Geoffrey L. Melnick	http://www.mt-archive.info/05/MTS-2005-Nir.pdf			Patent translation
Quality Analysis of Patent Parallel Corpus by the Scale	Isamu Okada and Shinichiro Miyazawa and Kazunari Ishida and Nobuhiko Shimizu and Toshizumi Ohta	http://www.mt-archive.info/05/MTS-2005-Okada.pdf			Patent translation
"Less, Easier and Quicker" in Language Acquisition for Patent MT	Svetlana Sheremetyeva	http://www.mt-archive.info/05/MTS-2005-Sheremetyeva-2.pdf			Patent translation
Domain Dependence of Lexical Translation: A Case Study of Patent Abstracts	Hiroyuki Kaji	http://www.mt-archive.info/05/MTS-2005-Kaji.pdf			Patent translation
Finding Translation Candidates from Patent Corpus	Sayori Shimohata	http://www.mt-archive.info/05/MTS-2005-Shimohata.pdf			Patent translation
Terminology Construction Workflow for Korean-English Patent MT	Young-Gil Kim and Seong-Il Yang and Munpyo Hong and Chang-Hyun Kim and Young-Ae Seo and Cheol Ryu and Sang-Kyu Park and Se-Young Park	http://www.mt-archive.info/05/MTS-2005-Kim.pdf			Patent translation
					
					
					
					
					
					
					
					
_					
