Title	Authors	Pdf	Presentation	Volume_Name	Notes
An Introduction to MT	Maghi King				Tutorial
MT and its Users.	Mr Colin BRACE				Tutorial
Using MT in practice: helpful hints and advice	Dr Muriel VACONCELLO and Ms Karin SPALINK	http://www.mt-archive.info/90/MTS-1995-Spalink.pdf			Tutorial
Problems with the second generation architecture and new trends in MT	Dr Harold SOMERS	http://www.mt-archive.info/90/MTS-1995-Somers.pdf			Tutorial
Eurotra, history and results	Professor Bente MAEGAARD	http://www.mt-archive.info/90/MTS-1995-Maegaard.pdf			
Reflections on the history and present state of MT	Dr John HUTCHINS	http://www.mt-archive.info/90/MTS-1995-Hutchins.pdf			
Factors for success and failure in MT	Professor Christian BOITET	http://www.mt-archive.info/90/MTS-1995-Boitet.pdf			
MT at NAIC - A perspective	Dr Dale BOSTAD	http://www.mt-archive.info/90/MTS-1995-Bostad.pdf			
The METAL system: Status 1995	Dr Thomas SCHNEIDER	http://www.mt-archive.info/90/MTS-1995-Schneider.pdf			
The World on your shoulders: The development of ATLAS	Mr Masaru FUJI	http://www.mt-archive.info/90/MTS-1995-Visser.pdf			
Realities of development in market-oriented MT	Dr Winfield Scott BENNETT	http://www.mt-archive.info/90/MTS-1995-Bennett.pdf			
A bidirectional Russian-English MT system (ETAP-3)	Professor Igor Mikhailovich BOGUSLAVSKY	http://www.mt-archive.info/90/MTS-1995-Boguslavsky.pdf			
Language Engineering and the Commission	Mr Roberto CENCIONI	http://www.mt-archive.info/90/MTS-1995-Cencioni.pdf			
The use of MT in the Commission	Ms Dorothy SENEZ	http://www.mt-archive.info/90/MTS-1995-Senez.pdf			
Euramis: Integrated multilingual services for a large multilingual community	Mr Jean-Marie LEICK		http://www.mt-archive.info/90/MTS-1995-Leick.pdf		
To do the right thing for the wrong reason, the Eurotra experience	Dr Brian OAKLEY	http://www.mt-archive.info/90/MTS-1995-Oakley.pdf			
The EDR Electronic Dictionary as information infrastructure.	Mr Yuichi TANAKA				
Terminology and standardization for MT	Mr Christian GALINSKI	http://www.mt-archive.info/90/MTS-1995-Galinski.pdf			
Building resources for MT: What the user hasn't got we have to provide	Ms Gudrun MAGNUSDOTTIR	http://www.mt-archive.info/90/MTS-1995-Magnusdottir.pdf			
A way of using a small MT system in industry Adaptation of JICST's MT system for workstations and PCs	Mr Yoji FUKUMOCHI	http://www.mt-archive.info/90/MTS-1995-Fukumochi.pdf			
Adaptation of JICST's MT system for workstations and PCs	MrTatsuo ASHIZAKI	http://www.mt-archive.info/90/MTS-1995-Ashizaki.pdf			
MT users and usage: Europe and the Americas	Dr Muriel VASCONCELLOS and Mr Colin BRACE	http://www.mt-archive.info/90/MTS-1995-Brace.pdf			
MT in the Czech Republic: history, methods, systems	Mr Jan HAJIC	http://www.mt-archive.info/90/MTS-1995-Hajic.pdf			
Translation technology - A survey of latest product developments	Dr Adriane RINSCHE	http://www.mt-archive.info/90/MTS-1995-Rinsche.pdf			
Pre- and Post-editing MT text for better communication and documentation	Mr Susumu DONOMAE 	http://www.mt-archive.info/90/MTS-1995-Donomae.pdf			
MT in the online environment: challenges and opportunities	Dr Mary FLANAGAN	http://www.mt-archive.info/90/MTS-1995-Flanagan.pdf			
MT: the economical part of multilingual information processing	Dr Stephan BODENKAMP	http://www.mt-archive.info/90/MTS-1995-Bodenkamp.pdf			
Two MT systems and still hungry...	Mr Daniel GRASMICK	http://www.mt-archive.info/90/MTS-1995-Grasmick.pdf			
Offering MT as a service from a profit center point of view	Mr Bernhard MASION	http://www.mt-archive.info/90/MTS-1995-Masion.pdf			
Integration of MT into the business process	Ms Doris MARTY-ALBISSER	http://www.mt-archive.info/90/MTS-1995-Marty-Albisser.pdf			
Offering large-system MT as a bureau service	Mr Peter WHEELER	http://www.mt-archive.info/90/MTS-1995-Wheeler.pdf			
MT for home and business users	Dr Hubert LEHMANN	http://www.mt-archive.info/90/MTS-1995-Lehmann.pdf			
What have we to do for the future of MT systems?	Professor Makoto NAGAO	http://www.mt-archive.info/90/MTS-1995-Nagao.pdf			
An empirical study of MT: we knew nothing	Professor Jun-lchi TSUJII				
Title to be announced	Professor Martin KAY				Title to be announced [not available]
JEIDA's test - sets for quality evaluation of MT systems	Dr Hitoshi ISAHARA	http://www.mt-archive.info/90/MTS-1995-Isahara.pdf			
TransCheck: The automatic validation of human translations	Mr Elliott MACKLOVITCH	http://www.mt-archive.info/90/MTS-1995-Macklovitch.pdf			
Approaches to black box MT evaluation	Dr John S. WHITE	http://www.mt-archive.info/90/MTS-1995-White.pdf			
The prerequisites of MT for an industrial user: a corpus-based approach	Ms Sylvie REGNIER-PROST	http://www.mt-archive.info/90/MTS-1995-Regnier-Prost.pdf			
Verbmobil: Towards a DRT-based translation of spontaneous negotiation dialogues	Professor Wolfgang WAHLSTER	http://www.mt-archive.info/90/MTS-1995-Wahlster.pdf			
Spoken dialogue translation technologies and speech translation	Dr Hitoshi IIDA	http://www.mt-archive.info/90/MTS-1995-Iida.pdf			
Translation and interpretation of spontaneous speech	Professor Alex WAIBEL				Translation and interpretation of spontaneous speech  [not available]
Multilingual information processing	Dr Gregor THURMAIR	http://www.mt-archive.info/90/MTS-1995-Thurmair.pdf			
Issues in multimodal telecommunications	Mr Tsuyoshi MORIMOTO	http://www.mt-archive.info/90/MTS-1995-Morimoto.pdf			
Towards a language information centre for Malay	Professor Yusoff ZAHARIN	http://www.mt-archive.info/90/MTS-1995-Zaharin.pdf			
MT and office automation	Professor Key-Sun CHOI	http://www.mt-archive.info/90/MTS-1995-Choi.pdf			
Cross language service technology of digital text information	Dr Kazunori MURAKI				Cross language service technology of digital text information  [not available]
Title to be announced	Professor Sergei NIRENBURG				Title to be announced  [not available]
MT as a practical tool in information processing	Professor Harald ZIMMERMAN	http://www.mt-archive.info/90/MTS-1995-Zimmermann.pdf			
