Title	Authors	Pdf	Presentation	Volume_Name	Notes
What should we do next for MT system development?	Hozumi Tanaka	http://www.mt-archive.info/90/MTS-1999-Tanaka.pdf			KEYNOTE SPEECH:
Chart translation	Martin Kay	http://www.mt-archive.info/90/MTS-1999-Kay.pdf			INVITED TALKS:
What can MT do for multilingualism on the Net?	Toru Nishigaki	http://www.mt-archive.info/90/MTS-1999-Nishigaki.pdf			INVITED TALKS:
SAIL: present and future	Jo Lernout	http://www.mt-archive.info/90/MTS-1999-Lernout.pdf			INVITED TALKS:
Retrospect and prospect in computer-based translation	John Hutchins	http://www.mt-archive.info/90/MTS-1999-Hutchins.pdf			CLOSING REMARKS:
Controlled languages for machine translation: state of the art	Hiroyuki Kaji	http://www.mt-archive.info/90/MTS-1999-Kaji.pdf			Session S1: Controlled language
Controlled language – issues in checkers’ design	Teruko Mitamura	http://www.mt-archive.info/90/MTS-1999-Knops.pdf			Session S1: Controlled language
Translation technology applications for the localization industry	Michael Anobile	http://www.mt-archive.info/90/MTS-1999-Anobile.pdf			Session S2: Localization
MT and TM technologies in localization industry: the challenge of integration	Nikolai Puntikov	http://www.mt-archive.info/90/MTS-1999-Puntikov.pdf			Session S2: Localization
Regional survey: M(A)T in North America	Elliott Macklovitch	http://www.mt-archive.info/90/MTS-1999-Macklovitch.pdf			Session S3: Survey reports on MT in each area
Computer assisted translation system – an Indian perspective	Hemant Darbari	http://www.mt-archive.info/90/MTS-1999-Darbari.pdf			Session S3: Survey reports on MT in each area
The research and development of machine translation in China	Aiping Fu	http://www.mt-archive.info/90/MTS-1999-Fu.pdf			Session S3: Survey reports on MT in each area
Report on machine translation market in Japan	Yoshiyuki Sakamoto and Minoru Moriguchi	http://www.mt-archive.info/90/MTS-1999-Sakamoto.pdf			Session S3: Survey reports on MT in each area
Machine translation in Korea	Se-Young Park and Gil-Rok Oh	http://www.mt-archive.info/90/MTS-1999-Park-1.pdf			Session S3: Survey reports on MT in each area
Prospects for advanced speech translation	Hitoshi Iida	http://www.mt-archive.info/90/MTS-1999-Iida.pdf			Session S4: MT and speech
Robust spoken translation at ITC-IRST	Gianni Lazzari	http://www.mt-archive.info/90/MTS-1999-Lazzari.pdf			Session S4: MT and speech
Translation systems under the C-STAR framework	Alex Waibel	http://www.mt-archive.info/90/MTS-1999-Waibel.pdf			Session S4: MT and speech
A research perspective on how to democratize machine translation and translation aids aiming at high quality final output	Christian Boitet	http://www.mt-archive.info/90/MTS-1999-Boitet.pdf			Session S5: MT from the research perspective
From parallel grammar development towards machine translation – a project overview	Anette Frank	http://www.mt-archive.info/90/MTS-1999-Frank.pdf			Session S5: MT from the research perspective
MT from the research perspective	Yussoff Zaharin	http://www.mt-archive.info/90/MTS-1999-Zaharin.pdf			Session S5: MT from the research perspective
FAMT is alive and well	Marjorie León	http://www.mt-archive.info/90/MTS-1999-Leon.pdf			Session S6: Views from users
Applications using multilinguality: IR, summarization and generalization	Vilas Wuwongse	http://www.mt-archive.info/90/MTS-1999-Wuwongse.pdf			Session S7: Multilingual information access
A scalable cross-language metasearch architecture for multilingual information access on the Web	Yoshihiko Hayashi and Genichiro Kikui and Toshiaki Iwadera	http://www.mt-archive.info/90/MTS-1999-Hayashi.pdf			Session S7: Multilingual information access
