Title	Authors	Pdf	Raw webtext
Preface	Hansen, Viggo and Maegaard, Bente	EAMT-2006-Hansen.pdf	Preface
Invited Keynote: Fully Automatic Useful Translation	van der Meer, Jaap	EAMT-2006-VanderMeer.pdf	Invited Keynote: Fully Automatic Useful Translation
A Bilingual Grammar for Translation of English-Swedish Verb Frame Divergences	Stymne, Sara and Ahrenberg, Lars	EAMT-2006-Stymne.pdf	A Bilingual Grammar for Translation of English-Swedish Verb Frame Divergences
A Cheap MT-Evaluation Method Based on Internet Searches	Moré, Joaquim and Climent, Salvador	EAMT-2006-More.pdf	A Cheap MT-Evaluation Method Based on Internet Searches
Combinatory Examples Extraction for Machine Translation	Simões, Alberto and Almeida, Joé João	EAMT-2006-Simoes.pdf	Combinatory Examples Extraction for Machine Translation
A Computer-Assisted Translation Tool based on Finite-State Technology	Civera, Jorge and Lagarda, Antonio L. and Cubel, Elsa and Casacuberta, Francisco	EAMT-2006-Civera-1.pdf	A Computer-Assisted Translation Tool based on Finite-State Technology
Detecting Inappropriate Use of Free Online Machine Translation by Language Students. A Special Case of Plagiarism Detection	Somers, Harold and Gaspari, Federico and Niño, and Ana	EAMT-2006-Somers.pdf	Detecting Inappropriate Use of Free Online Machine Translation by Language Students. A Special Case of Plagiarism Detection
A Dictionary Lookup Strategy for Translating of Discontinuous Phrases	Carl, Michael and Rascu, Ecaterina	EAMT-2006-Carl.pdf	A Dictionary Lookup Strategy for Translating of Discontinuous Phrases
Disambiguation Strategies for Data-Oriented Translation	Hearne, Mary and Way, Andy	EAMT-2006-Hearne.pdf	Disambiguation Strategies for Data-Oriented Translation
English-Hungarian NP Alignment in MetaMorphoTM	Pohl, Gábor	EAMT-2006-Pohl.pdf	English-Hungarian NP Alignment in MetaMorphoTM
Exploiting Word Transformation in Statistical Machine Translation from Spanish to English	Gupta, Deepa and Federico, Marcello	EAMT-2006-Gupta.pdf	Exploiting Word Transformation in Statistical Machine Translation from Spanish to English
A Flexible Architecture for CAT Applications	Hasan, Saša and Khadivi, Shahram and Zens, Richard and Ney, and Hermann	EAMT-2006-Hasan.pdf	A Flexible Architecture for CAT Applications
A Flexible Online Server for Machine Translation Evaluation	Eck, Matthias and Vogel, Stephan and Waibel, and Alex	EAMT-2006-Eck.pdf	A Flexible Online Server for Machine Translation Evaluation
