Title	Authors	Pdf	Raw webtext
The GeLexi MT project	Alberti, Gabor	http://www.mt-archive.info/00/EAMT-2004-Alberti.pdf	Gabor Alberti andJudit Kleiber: The GeLexi MT project [PDF,258KB]
French to Arabic machine translation: the specificity of language couples	Alsharaf, Haytham and Greenfield, Peter	http://www.mt-archive.info/00/EAMT-2004-Alsharaf.pdf	Haytham Alsharaf,Sylviane Cardey and Peter Greenfield: French to Arabic machine translation: the specificityof language couples [PDF, 197KB]
Disambiguating translation strategies in MT using automatic named entity recognition	Babych, Bogdan and Hartley, Anthony	http://www.mt-archive.info/00/EAMT-2004-Babych.pdf	Bogdan Babych andAnthony Hartley: Disambiguating translation strategies in MT using automatic namedentity recognition [PDF, 243KB]
Improving statistical translation through editing 	Bannard, Colin and Schroeder, Josh	http://www.mt-archive.info/00/EAMT-2004-Callison-Burch.pdf	ChrisCallison-Burch, Colin Bannard and Josh Schroeder: Improvingstatistical translation through editing [PDF,227KB]
Challenges in using an example-based MT system for a transnational digital government project	, Ralf and G.Carbonell, Jaime and Jansen, Peter and Dong, Jae	http://www.mt-archive.info/00/EAMT-2004-Cavalli-Sforza.pdf	ViolettaCavalli-Sforza, Ralf D.Brown, Jaime G.Carbonell, Peter J. Jansen, and Jae DongKim: Challengesin using an example-based MT system for a transnational digital governmentproject [PDF, 216KB]
Formal analysis of some aspects of Amharic noun phrases		http://www.mt-archive.info/00/EAMT-2004-Fissaha.pdf	Sisay FissahaAdafre: Formalanalysis of some aspects of Amharic noun phrases [PDF, 198KB]
The freelance translator's workstation: an empirical investigation	Fulford, Heather and Granell-Zafra, Joaquin	http://www.mt-archive.info/00/EAMT-2004-Fulford.pdf	Heather Fulfordand Joaquin Granell-Zafra: The freelance translator's workstation: an empiricalinvestigation [PDF, 165KB]
Integrating on-line MT services into monolingual web-sites for dissemination purposes: an evaluation perspective	Gaspari, Federico	http://www.mt-archive.info/00/EAMT-2004-Gaspari.pdf	Federico Gaspari: Integrating on-lineMT services into monolingual web-sites for dissemination purposes: anevaluation perspective [PDF, 186KB]
Example-based controlled translation	Gough, Nano and Way, Andy	http://www.mt-archive.info/00/EAMT-2004-Gough.pdf	Nano Gough and Andy Way: Example-basedcontrolled translation [PDF, 155KB]
Translation memory as a robust example-based translation system	Grőbler, Tamás and Kis, Balázs	http://www.mt-archive.info/00/EAMT-2004-Hodasz.pdf	Gábor Hodász,Tamás Grőbler, and Balázs Kis: Translation memory as a robust example-basedtranslation system [PDF, 227KB]
A translation model for languages of accessing countries		http://www.mt-archive.info/00/EAMT-2004-Homola.pdf	Petr Homola andVladislav Kubon: A translation model for languages of accessing countries [PDF, 231KB]
Applying Oxford-PWN English-Polish dictionary to machine translation	Jassem, Krzysztof	http://www.mt-archive.info/00/EAMT-2004-Jassem.pdf	Krzysztof Jassem: Applying Oxford-PWNEnglish-Polish dictionary to machine translation [PDF, 209KB]
Towards an automated evaluation of an embedded MT system	Laoudi, J.	http://www.mt-archive.info/00/EAMT-2004-Laoudi.pdf	J. Laoudi, C.Tateand Clare R.Voss: Towards an automated evaluation of an embedded MT system [PDF, 250KB]
A trainable transfer-based MT approach for languages with limited resources	Probst, Katharina and Peterson, Erik and Vogel, Stephan and Levin, Lori and Carbonell, Jaime	http://www.mt-archive.info/00/EAMT-2004-Lavie.pdf	Alon Lavie,Katharina Probst, Erik Peterson, Stephan Vogel, Lori Levin, AriadnaFont-Llitjos and Jaime Carbonell: A trainable transfer-based MT approach for languageswith limited resources [PDF, 265KB]
The NEMLAR project on Arabic language resources	Maegaard, Bente and Maegaard, Bente	http://www.mt-archive.info/00/EAMT-2004-Maegaard.pdf	Bente Maegaard: The NEMLAR projecton Arabic language resources [PDF,123KB]
Statistical analysis of target language corpus for word sense disambiguation in a machine translation system	Khalafi, Ali	http://www.mt-archive.info/00/EAMT-2004-Mosavi.pdf	Tayebeh MosaviMiangah and Ali Delavar Khalafi: Statistical analysis of target language corpus forword sense disambiguation in a machine translation system [PDF, 151KB]
Moose: a robust high-performance parser and generator	Prószéky, Gábor and Tihanyi, László and Ugray, Gábor	http://www.mt-archive.info/00/EAMT-2004-Proszeky.pdf	Gábor Prószéky,László Tihanyi, and Gábor Ugray: Moose: a robust high-performance parser and generator[PDF, 179KB]
LTC Communicator – a web-based e-communication tool		http://www.mt-archive.info/00/EAMT-2004-Rinsche.pdf	Adriane Rinsche: LTC Communicator –a web-based e-communication tool [PDF,187KB]
