Title	Authors	Pdf	Presentation	Volume_Name	Notes
OPENING ADDRESS	SIR GORDON SUTHERLAND	http://www.mt-archive.info/50/NPL-1961-Sutherland.pdf			
A preliminary approach to Japanese-English automatic translation 	SUSUMU KUNO	http://www.mt-archive.info/50/NPL-1961-Kuno.pdf			
Discussion on paper		http://www.mt-archive.info/50/NPL-1961-Whelan-1.pdf			
A new model of syntactic description	F. R. PARKER-RHODES	http://www.mt-archive.info/50/NPL-1961-Parker-Rhodes.pdf			
Presentation and discussion of paper		http://www.mt-archive.info/50/NPL-1961-Whelan-2.pdf			
Random generation of English sentences	VICTOR H. YNGVE	http://www.mt-archive.info/50/NPL-1961-Yngve.pdf			
Presentation and discussion of paper		http://www.mt-archive.info/50/NPL-1961-Lyons-1.pdf			
The classification of English verbs by object types	SEYMOUR CHATMAN	http://www.mt-archive.info/50/NPL-1961-Chatman.pdf			
Presentation and discussion of paper		http://www.mt-archive.info/50/NPL-1961-Lyons-2.pdf			
Structure at the lexical level and its implication for transfer grammar	EDWARD S. KLIMA	http://www.mt-archive.info/50/NPL-1961-Klima.pdf			
Presentation and discussion of paper		http://www.mt-archive.info/50/NPL-1961-Lyons-3.pdf			
The application of the article in English	JEHANE BARTON	http://www.mt-archive.info/50/NPL-1961-Barton.pdf			
Presentation and discussion of paper		http://www.mt-archive.info/50/NPL-1961-Lyons-4.pdf			
Recognition of clauses and phrases in machine	FRANZ L. ALT and IDA RHODES	http://www.mt-archive.info/50/NPL-1961-Alt.pdf			
The identification of nested structures in predictive syntactic analysis	MURRAY E. SHERRY	http://www.mt-archive.info/50/NPL-1961-Sherry.pdf			
Presentations and discussions of papers 11 and 18		http://www.mt-archive.info/50/NPL-1961-Lehmann.pdf			
A fourth level of linguistic analysis	MICHAEL ZARECHNAK	http://www.mt-archive.info/50/NPL-1961-Zarechnak.pdf			
Discussion on paper 12	Automatic sentence diagramming	http://www.mt-archive.info/50/NPL-1961-McDaniel-1.pdf			
Automatic sentence diagramming	WARREN PLATH	http://www.mt-archive.info/50/NPL-1961-Plath.pdf			
Discussion on paper 2		http://www.mt-archive.info/50/NPL-1961-McDaniel-2.pdf			
A preliminary structural transfer system	WILLIAM D. FOUST and JULIA WALKLING	http://www.mt-archive.info/50/NPL-1961-Foust.pdf			
Discussion on paper		http://www.mt-archive.info/50/NPL-1961-McDaniel-3.pdf			
A note on categorial grammars	R.P.MITCHELL	http://www.mt-archive.info/50/NPL-1961-Mitchell.pdf			
Presentation and discussion of paper		http://www.mt-archive.info/50/NPL-1961-Davies-1.pdf			
Human translation and translation by machine, I	SILVIO CECCATO and BRUNA ZONTA	http://www.mt-archive.info/50/NPL-1961-Ceccato.pdf			
Presentation and discussion of paper O	Linguistic analysis or Russian chemical terminology	http://www.mt-archive.info/50/NPL-1961-McDaniel-4.pdf			
Linguistic analysis or Russian chemical terminology	JOHN H. WAHLGREN	http://www.mt-archive.info/50/NPL-1961-Wahlgren.pdf			
Machine translation of Russian organic chemical names into English by analysis and resynthesls of the component fragments	LAWRENCE SUMMERS	http://www.mt-archive.info/50/NPL-1961-Summers.pdf			
Discussion on papers 19 and 17		http://www.mt-archive.info/50/NPL-1961-McDaniel-5.pdf			
Intrinsic machine addressing in automatic translation	YVES LECERF	http://www.mt-archive.info/50/NPL-1961-Lecerf.pdf			
Presentation and discussion of paper		http://www.mt-archive.info/50/NPL-1961-McDaniel-6.pdf			
Source-language specifications with table lookup and high-capacity dictionary	LEW R. MICKLESEN	http://www.mt-archive.info/50/NPL-1961-Micklesen.pdf			
Presentation and discussion of paper		http://www.mt-archive.info/50/NPL-1961-McDaniel-7.pdf			
A technique for consistent splitting of Russian words	DONALD W. DAVIES and ANTHONY M. DAY	http://www.mt-archive.info/50/NPL-1961-Davies-2.pdf			
The grammatical interpretation of Russian inflected forms using a stem dictionary	JOHN McDANIEL and STEPHEN WHELAN	http://www.mt-archive.info/50/NPL-1961-McDaniel.pdf			
Discussion on papers 23 and 4	On problems of address in an automatic dictionary of French	http://www.mt-archive.info/50/NPL-1961-Josselson-1.pdf			
On problems of address in an automatic dictionary of French	PIERRE MEILE	http://www.mt-archive.info/50/NPL-1961-Meile.pdf			
Presentation and discussion of paper		http://www.mt-archive.info/50/NPL-1961-Josselson-2.pdf			
Multiple meaning in machine translation	AMELIA JANIOTIS and HARRY H. JOSSELSON	http://www.mt-archive.info/50/NPL-1961-Janiotis.pdf			
Discussion on paper		http://www.mt-archive.info/50/NPL-1961-Edmundson-1.pdf			
Mechanised semantic classification	KAREN SPARCK-JONES	http://www.mt-archive.info/50/NPL-1961-Sparck-Jones.pdf			
Discussion on paper		http://www.mt-archive.info/50/NPL-1961-McDaniel-8.pdf			
Semantic message detection for machine translation, using an interlingua	MARGARET MASTERMAN	http://www.mt-archive.info/50/NPL-1961-Masterman.pdf			
Discussion on paper		http://www.mt-archive.info/50/NPL-1961-Edmundson-2.pdf			
Russian—СЯ verbs; impersonally used verbs, and subject-object ambiguities	IRINA LYNCH	http://www.mt-archive.info/50/NPL-1961-Lynch.pdf			
Human translation and translation by machine, II	E. V. GLASERSFELD	http://www.mt-archive.info/50/NPL-1961-Glasersfeld.pdf			
Discussion on paper		http://www.mt-archive.info/50/NPL-1961-McDaniel-9.pdf			
Analysis by synthesis of natural languages	G. H. MATTHEWS	http://www.mt-archive.info/50/NPL-1961-Matthews.pdf			
Discussion on paper	On the semantical interpretation of linguistic entities that function structurally	http://www.mt-archive.info/50/NPL-1961-McDaniel-10.pdf			
On the semantical interpretation of linguistic entities that function structurally	ELINOR K. CHARNEY	http://www.mt-archive.info/50/NPL-1961-Charney.pdf			
Presentation and discussion of paper		http://www.mt-archive.info/50/NPL-1961-McDaniel-11.pdf			
The mechanical analysis of language	MICHAEL LEVISON	http://www.mt-archive.info/50/NPL-1961-Levison.pdf			
Discussion on paper		http://www.mt-archive.info/50/NPL-1961-Brown-1.pdf			
On the value of dependency connections	DAVID G. HAYS	http://www.mt-archive.info/50/NPL-1961-Hays.pdf			
Presentation and discussion of paper	Syntax in universal translation	http://www.mt-archive.info/50/NPL-1961-Brown-2.pdf			
Syntax in universal translation	ITIROO SAKAI	http://www.mt-archive.info/50/NPL-1961-Sakai.pdf			
Presentation and discussion of paper		http://www.mt-archive.info/50/NPL-1961-Brown-3.pdf			
Construction of a textual analysis algorithm with the aid of a computing machine	OLGA S. KULAGINA	http://www.mt-archive.info/50/NPL-1961-Kulagina.pdf			
Discussion on Miss Kulagina's paper		http://www.mt-archive.info/50/NPL-1961-Kulagina.pdf			
Introduction to an automatic English syntax(by fragmentation)	ROBERT TABORY	http://www.mt-archive.info/50/NPL-1961-Corbe.pdf			
Discussion on paper		http://www.mt-archive.info/50/NPL-1961-Davies-3.pdf			
Automatic linguistic analysis - a heuristic problem	PAUL L. GARVIN	http://www.mt-archive.info/50/NPL-1961-Garvin.pdf			
Discussion on paper		http://www.mt-archive.info/50/NPL-1961-Davies-4.pdf			
