Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Foreword	Satoshi Nakamura	http://www.mt-archive.info/10/IWSLT-2014-Nakamura.pdf				
Participants		http://www.mt-archive.info/10/IWSLT-2014-participants.pdf				
Program		http://www.mt-archive.info/10/IWSLT-2014-program.pdf				
Speech translation for everyone – breaking down the barriers	Arul Menezes	http://www.mt-archive.info/10/IWSLT-2014-Menezes.pdf				
Report on the 11th IWSLT evaluation campaign	Mauro Cettolo and Jan Niehues and Sebastian Stüker and Luisa Bentivogli and Marcello Federico	http://www.mt-archive.info/10/IWSLT-2014-Cettolo.pdf			2-17	
FBK @ IWSLT 2014 – ASR track	B.BabaAli and R.Serizel and S.Jalalvand and R.Gretter and D.Giuliani	http://www.mt-archive.info/10/IWSLT-2014-BabaAli.pdf			18-25	
The UEDIN ASR systems for the IWSLT 2014 evaluation	Peter Bell and Pawel Swietojanski and Joris Driesen and Mark Sinclair and Fergus McInnes and Steve Renals	http://www.mt-archive.info/10/IWSLT-2014-Bell.pdf			26-33	
Improving MEANT based semantically tuned SMT	Meriem Beloucif and Chi-kiu Lo and Dekai Wu	http://www.mt-archive.info/10/IWSLT-2014-Beloucif.pdf			34-41	
FBK’s machine translation and speech translation systems for the IWSLT 2014 evaluation campaign	Nicola Bertoldi and Prashanu Mathur and Nicolas Ruiz and Marcello Federico	http://www.mt-archive.info/10/IWSLT-2014-Bertoldi.pdf			42-48	
Edinburgh SLT and MT system description for the IWSLT 2014 evaluation	Alexandra Birch and Matthias Huck and Nadir Durrani and Nikolay Bogoychev and Philipp Koehn	http://www.mt-archive.info/10/IWSLT-2014-Birch.pdf			49-56	
Combined spoken language translation	Markus Freitag and Joern Wuebker and Stephan Peitz and Hermann Ney and Matthias Huck and Alexandra Birch and Nadir Durrani and Philipp Koehn and Mohammed Mediani and Isabel Slawik and Jan Niehues and Eunach Cho and Alex Waibel and Nicola Bertoldi and Mauro Cettolo and Marcello Federico	http://www.mt-archive.info/10/IWSLT-2014-Freitag.pdf			57-64	
