Title	Authors	Pdf	Presentation	Volume_Name	Raw_webtext
Expressive hierarchical rule extraction for left-to-right translation	Maryam Siahbani and Anoop Sarkar	http://www.mt-archive.info/10/AMTA-2014-Siahbani.pdf		Vol.1: MT Researchers Track	Expressive hierarchical rule extraction for left-to-right translation
Bayesian iterative-cascade framework for hierarchical phrase-based translation	Baskaran Sankaran and Anoop Sarkar	http://www.mt-archive.info/10/AMTA-2014-Sankaran.pdf		Vol.1: MT Researchers Track	Bayesian iterative-cascade framework for hierarchical phrase-based translation
Coarse “split and lump” bilingual language models for richer source information in SMT	Darlene Stewart and Roland Kuhn and Eric Joanis and George Foster	http://www.mt-archive.info/10/AMTA-2014-Stewart.pdf		Vol.1: MT Researchers Track	Coarse “split and lump” bilingual language models for richer source information in SMT
Using any machine translation source for fuzzy-match repair in a computer-aided translation setting	John E.Ortega and Felipe Sánchez-Martinez and Mikel L.Forcada	http://www.mt-archive.info/10/AMTA-2014-Ortega.pdf		Vol.1: MT Researchers Track	Using any machine translation source for fuzzy-match repair in a computer-aided translation setting
Enhancing statistical machine translation with bilingual terminology in a CAT environment	Mihael Arcan and Marco Turchi and Sara Topelli and Paul Buitelaar	http://www.mt-archive.info/10/AMTA-2014-Arcan.pdf		Vol.1: MT Researchers Track	Enhancing statistical machine translation with bilingual terminology in a CAT environment
Clean data for training statistical MT: the case of MT contamination	Michel Simard	http://www.mt-archive.info/10/AMTA-2014-Simard.pdf		Vol.1: MT Researchers Track	Clean data for training statistical MT: the case of MT contamination
Bilingual phrase-to-phrase alignment for arbitrarily-small datasets	Kevin Flanagan	http://www.mt-archive.info/10/AMTA-2014--Flanagan.pdf		Vol.1: MT Researchers Track	Bilingual phrase-to-phrase alignment for arbitrarily-small datasets
A probabilistic feature-based fill-up for SMT	Jian Zhang and Liangyou Li and Andy Way and Qun Liu	http://www.mt-archive.info/10/AMTA-2014-Zhang.pdf		Vol.1: MT Researchers Track	A probabilistic feature-based fill-up for SMT
Document-level re-ranking with soft lexical and semantic features for statistical machine translation	Chenchen Ding and Masao Utiyama and Eiichiro Sumita	http://www.mt-archive.info/10/AMTA-2014-Ding.pdf		Vol.1: MT Researchers Track	Document-level re-ranking with soft lexical and semantic features for statistical machine translation
A comparison of mixture and vector space techniques for translation model adaptation	Boxing Chen and Roland Kuhn and George Foster	http://www.mt-archive.info/10/AMTA-2014-Chen.pdf		Vol.1: MT Researchers Track	A comparison of mixture and vector space techniques for translation model adaptation
Combining domain and topic adaptation for SMT	Eva Hasler and Barry Haddow and Philipp Koehn	http://www.mt-archive.info/10/AMTA-2014-Hasker.pdf		Vol.1: MT Researchers Track	Combining domain and topic adaptation for SMT
