Title	Authors	Pdf	Raw webtext
Introduction	Maegaard, Bente	http://www.mt-archive.info/05/EAMT-2005-Maegaard.pdf	Bente Maegaard: Introductionby the president of EAMT [PDF, 16KB]
The Language Translation Interface	Estival, Dominique	http://www.mt-archive.info/05/EAMT-2005-Estival.pdf	Dominique Estival: TheLanguage Translation Interface [PDF, 252KB]
Codified close translation as a standard for MT	Ahrenberg, Lars	http://www.mt-archive.info/05/EAMT-2005-Ahrenberg.pdf	Lars Ahrenberg: Codifiedclose translation as a standard for MT [PDF, 69KB]
Machine translation for Catalan↔Spanish: the real case for productive MT	Alberto, Juan	http://www.mt-archive.info/05/EAMT-2005-Alonso.pdf	Juan Alberto Alonso: Machinetranslation for Catalan↔Spanish: the real case for productive MT[PDF, 147KB]
"Building a conversation corpus by text derivation from ""germ dialogs"	Yamada, Setsuo and , Masahiro	http://www.mt-archive.info/05/EAMT-2005-Asanoma.pdf	"Naoki Asanoma, Setsuo Yamada, Osamu Furuse, and MasahiroOku: Building a conversation corpus by textderivation from ""germ dialogs"" [PDF, 82KB]"
Comparison of generation strategies for interactive machine translation	Bender, Oliver and Hasan, Saša and Vilar, David and Zens, Richard and Ney, Hermann	http://www.mt-archive.info/05/EAMT-2005-Bender.pdf	Oliver Bender, Saša Hasan, David Vilar, Richard Zens, andHermann Ney: Comparison of generation strategiesfor interactive machine translation [PDF, 83KB]
Are we making ourselves clear? Terminology management and machine translation at Volkswagen	Bernardi, Ulrike and Porsiel, Jörg	http://www.mt-archive.info/05/EAMT-2005-Bernardi.pdf	Ulrike Bernardi, Andras Bocsak, and Jörg Porsiel: Are we making ourselves clear? Terminologymanagement and machine translation at Volkswagen [PDF, 273KB]
A generic multi-lingual open source platform for limited-domain medical speech translation	Chatzichrisafis, Nikos and Hockey, Beth Ann and , Marianne and Starlander, Marianne and Nakao, Yukie and Kanzaki, Kyoko and , Isahara	http://www.mt-archive.info/05/EAMT-2005-Bouillon.pdf	PierretteBouillon, Manny Rayner, Nikos Chatzichrisafis, Beth Ann Hockey, MarianneSantaholma, Marianne Starlander, Yukie Nakao, Kyoko Kanzaki, and HitoshiIsahara: A generic multi-lingual open sourceplatform for limited-domain medical speech translation [PDF, 182KB]
A compact data structure for searchable translation memories	Callison-Burch, Chris and Bannard, Colin and Schroeder, Josh	http://www.mt-archive.info/05/EAMT-2005-Callison-Burch.pdf	Chris Callison-Burch, Colin Bannard, and Josh Schroeder: A compact data structure for searchabletranslation memories [PDF, 135KB]
Using template-grammars for shake & bake paraphrasing	Carl, Michael and Rascu, Ecaterina and Schmidt, Paul	http://www.mt-archive.info/05/EAMT-2005-Carl.pdf	Michael Carl, Ecaterina Rascu, and Paul Schmidt: Using template-grammars for shake & bakeparaphrasing [PDF, 107KB]
Prague Czech-English dependency treebank: resource for structure-based MT	Čmejrek, Martin and Cuřín, Jan and Hajič, Jan and Havelka, Jiří	http://www.mt-archive.info/05/EAMT-2005-Cmejrek.pdf	Martin Čmejrek, Jan Cuřín, Jan Hajič, andJiří Havelka: Prague Czech-English dependency treebank: resourcefor structure-based MT [PDF, 66KB]
An open-source shallow-transfer machine translation engine for the Romance languages of Spain	Ortíz-Rojas, Sergio and , Pérez-Ortiz and Ramírez-Sánchez, Gema and Sánchez-Martínez, Felipe and Alegria, Iñaki and Mayor, Aingeru and Sarasola, Kepa	http://www.mt-archive.info/05/EAMT-2005-Corbi-Bellot.pdf	AntonioM.Corbi-Bellot, Mikel L. Forcada, Sergio Ortíz-Rojas, Juan Antonio Pérez-Ortiz,Gema Ramírez-Sánchez, Felipe Sánchez-Martínez, Iñaki Alegria, Aingeru Mayor,and Kepa Sarasola: An open-sourceshallow-transfer machine translation engine for the Romance languages of Spain[PDF, 130KB]
A framework for interactive and automatic refinement of transfer-based machine translation	Carbonell, Jaime G. and Lavie, Alon	http://www.mt-archive.info/05/EAMT-2005-Font-Llitjos.pdf	Ariadna Font Llitjós, Jaime G. Carbonell, and Alon Lavie: A framework for interactive and automaticrefinement of transfer-based machine translation [PDF, 468KB]
Extraction of translation equivalents from parallel corpora using sense-sensitive contexts	Otero, Pablo Gamallo	http://www.mt-archive.info/05/EAMT-2005-Gamallo-Otero.pdf	Pablo Gamallo Otero: Extractionof translation equivalents from parallel corpora using sense-sensitive contexts[PDF, 52KB]
Sentence-level MT evaluation without reference translations: beyond language modeling	Gamon, Michael and Aue, Anthony and Smets, Martine	http://www.mt-archive.info/05/EAMT-2005-Gamon.pdf	Michael Gamon, Anthony Aue, and Martine Smets: Sentence-level MT evaluation without referencetranslations: beyond language modeling [PDF, 76KB]
Target language preposition selection – an experiment with transformation based learning and aligned bilingual data	Gustavii, Ebba	http://www.mt-archive.info/05/EAMT-2005-Gustavii.pdf	Ebba Gustavii: Targetlanguage preposition selection – an experiment with transformation basedlearning and aligned bilingual data [PDF, 45KB]
Clustered language models based on regular expressions for SMT	Ney, Hermann	http://www.mt-archive.info/05/EAMT-2005-Hasan.pdf	Saša Hasan and Hermann Ney: Clusteredlanguage models based on regular expressions for SMT [PDF, 77KB]
Augmenting a statistical translation system with a translation memory	Hewavitharana, Sanjika and Vogel, Stephan and Waibel, Alex	http://www.mt-archive.info/05/EAMT-2005-Hewavitharana.pdf	Sanjika Hewavitharana, Stephan Vogel, and Alex Waibel: Augmenting a statistical translation systemwith a translation memory [PDF, 74KB]
Adaptation of the translation model for statistical machine translation based on information retrieval	Hildebrand, Almut Silja and Eck, Matthias and Vogel, Stephan and Waibel, Alex	http://www.mt-archive.info/05/EAMT-2005-Hildebrand.pdf	Almut Silja Hildebrand, MatthiasEck, Stephan Vogel, and Alex Waibel: Adaptationof the translation model for statistical machine translation based oninformation retrieval [PDF, 100KB]
Multi-engine machine translation guided by explicit word matching	Jayaraman, Shyamsundar	http://www.mt-archive.info/05/EAMT-2005-Jayaraman.pdf	Shyamsundar Jayaraman and Alon Lavie: Multi-engine machine translation guided byexplicit word matching [PDF, 63KB]
