Title	Authors	Pdf	Presentation	Volume_Name
"Envisioning Machine Translation in the Information Future"				
"4th conference of the Association for Machine Translation in the Americas, AMTA 2000,"				
Cuernavaca				
"Edited by John S. White"				
"Berlin/Heidelberg/New York: Springer Verlag, 2000"				
"ISBN: 3-540-41117-8"				
"(Lecture Notes in Artificial Intelligence; Lecture Notes in Computer Science 1934)"				
"Table of Contents"				
"[For copyright reasons these papers are only available directly from the "				
"Tutorial descriptions "				
"Ontological semantics"	"Sergei Nirenburg"			"Tutorial descriptions "
"A gentle introduction to MT: theory and current practice"	"Eduard Hovy"			"Tutorial descriptions "
"Controlled languages"	"Teruko Mitamura and Eric Nyberg"			"Tutorial descriptions "
"Statistical machine translation"	"Kevin Knight"			"Tutorial descriptions "
"The diversity and distribution of languages"	"Laurie Gerber"			"Tutorial descriptions "
MTranslatability	"Arendse Bernth and Claudia Gdaniec"			"Tutorial descriptions "
"Technical papers"				
"Building a Chinese-English mapping between verb concepts for multilingual applications"	"Bonnie J. Dorr and Gina-Anne Levow and Dekang Lin"			"Technical papers"
"Applying machine translation to two-stage cross-language information retrieval"	"Atsushi Fujii and Tetsuya Ishikawa"			"Technical papers"
"Mixed-initiative translation of Web pages"	"Michael Fleming and Robin Cohen"			"Technical papers"
"A self-learning method of parallel texts alignment"	"António Ribeiro and Gabriel Lopes and João Mexia"			"Technical papers"
"Handling structural divergences and recovering dropped arguments in a Korean/English machine translation system"	"Chung-hye Han and Benoit Lavoie and Martha Palmer and Owen Rambow and Richard Kittredge and Tanya Korelsky and Nari Kim and Myunghee Kim"			"Technical papers"
"A machine translation system from English to American Sign Language"	"Liwei Zhao and Karin Kipper and William Schuler and Christian Vogler and Norman Badler and Martha Palmer"			"Technical papers"
"Oxygen: a language independent linearization engine"	"Nizar Habash"			"Technical papers"
"Information structure transfer: bridging the information gap in structurally different languages"	"Margo Budzikowa"			"Technical papers"
"The effect of source analysis on translation confidence"	"Arendse Bernth and Michael C. McCord"			"Technical papers"
"Contemplating automatic MT evaluation"	"John S. White"			"Technical papers"
"How are you doing? A look at MT evaluation"	"Michelle Vanni and Florence Reeder"			"Technical papers"
"Recycling annotated parallel corpora for bilingual document composition"	"Arantza Casillas and Joseba Abaitua and Raquel Martínez"			"Technical papers"
"Combining invertible example-based machine translation with translation memory technology"	"Michael Carl"			"Technical papers"
"What's been forgotten in translation memory"	"Elliott Macklovitch and Graham Russell"			"Technical papers"
"Understanding politics by studying weather: a cognitive approach to representation of Polish verbs of motion, appearance, and existence"	"Barbara Gawronska and Hannah Duczak"			"Technical papers"
"Small but efficient: the misconception of high-frequency words in Scandinavian translation"	"Pernilla Danielsson and Katarina Mühlenbock"			"Technical papers"
"Challenges in adapting an interlingua for bidirectional English-Italian translation"	"Violetta Cavalli-Sforza and Krzysztof Czuba and Teruko Mitamura and Eric Nyberg"			"Technical papers"
"Text meaning representation as a basis for representation of text interpretation"	"Stephen Helmreich and David Farwell"			"Technical papers"
"MT-based transparent Arabization of the Internet TARJIM.COM"	"Achraf Chalabi"			"System descriptions"
"The KANTOO machine translation environment"	"Eric Nyberg and Teruko Mitamura"			"System descriptions"
"Pacific Rim portable translator"	"John Weisgerber and Jin Yang and Pete Fisher"			"System descriptions"
"LabelTool: a localization application for devices with restricted display areas"	"Jimmy C.M. Lu and Lars Åkerman and Karin Spalink"			"System descriptions"
"The LogoVista ES translation system"	"Nan Decker"			"System descriptions"
"L&H lexicography toolkit for machine translation"	"Timothy Meekhof and David Clements"			"System descriptions"
"A new look for the PAHO MT system"	"Marjorie León"			"System descriptions"
"Is MT software documentation appropriate for MT users?"	"David Mowatt and Harold Somers"			"User studies"
"Evaluating embedded machine translation in military field exercises"	"M.Holland and C. Schlesinger and C. Tate"			"User studies"
"Machine translation systems: E-K, K-E, J-K, K-J"	"Yu Seop Kim and Sung Dong Kim and Seong Bae Park and Jong Woo Lee and Jeong Ho Chang and Kyu Baek Hwang and Min O Jang and Yung Taek Kim"			"User studies"
"The foreign language challenge in the USG and machine translation. [abstract only]"	"Kathleen Egan"	http://www.mt-archive.info/00/AMTA-2000-Egan-Sheng.pdf		"Machine translation in practice: from old guard to new guard.  Lexicons as gold: mining, embellishment and reuse"
"Machine translation, the road ahead"	"Walter Hartmann"	http://www.mt-archive.info/00/AMTA-2000-Hartmann.pdf		"Machine translation in practice: from old guard to new guard.  Lexicons as gold: mining, embellishment and reuse"
"Educational implications of a machine translation system"	"Tatyana Gurina"	http://www.mt-archive.info/00/AMTA-2000-Gurina.pdf		"Machine translation in practice: from old guard to new guard.  Lexicons as gold: mining, embellishment and reuse"
"Use of an MT program in an international organization"	"Gustavo Silva"	http://www.mt-archive.info/00/AMTA-2000-Silva.pdf		"Machine translation in practice: from old guard to new guard.  Lexicons as gold: mining, embellishment and reuse"
"Wired for peace and multi-language communication"	"Vladimir Oboronko"	http://www.mt-archive.info/00/AMTA-2000-Oboronko.pdf		"Machine translation in practice: from old guard to new guard.  Lexicons as gold: mining, embellishment and reuse"
"Automated translation for the deployment of dynamic and mission critical content [abstract only]"	"Bob Sheng"	http://www.mt-archive.info/00/AMTA-2000-Egan-Sheng.pdf		"Machine translation in practice: from old guard to new guard.  Lexicons as gold: mining, embellishment and reuse"
"What do we need from MT? [no transcript available]"				"Panel discussion"
