Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Crowdsourcing translation	Chris Callison-Burch	http://www.mt-archive.info/10/BUCC-2014-Callison-Burch.pdf			1	Keynote
Construction of a French-LSF corpus	Michael Filhol and Xavier Tannier	http://www.mt-archive.info/10/BUCC-2014-Filhol.pdf			2-5	Building corpora
Merging comparable data sources for the discrimination of similar languages: the DSL corpus collection	Liling Tan and Marcos Zampieri and Nikola Ljubešić and Jörg Tiedemann	http://www.mt-archive.info/10/BUCC-2014-Tan.pdf			6-10	Building corpora
Building comparable corpora from social networks	Maroua Trabelsi and Malek Hajjem and Chiraz Latiri	http://www.mt-archive.info/10/BUCC-2014-Trabelsi.pdf			11-16	Building corpora
Twitter as a comparable corpus to build multilingual affective lexicons	Amel Fraisse and Patrick Paroubek	http://www.mt-archive.info/10/BUCC-2014-Fraisse.pdf			17-21	Building corpora
Multimodal comparable corpora for machine translation	Haithem Afli and Loïc Barrault and Holger Schwenk	http://www.mt-archive.info/10/BUCC-2014-Afli.pdf			22-27	Machine translation
Extended translation memories for multilingual document authoring	Jen-Luc Meunier and Marc Dymetman	http://www.mt-archive.info/10/BUCC-2014-Meunier.pdf			28-37	Machine translation
Using partly multilingual patents to support research on multilingual IR by building translation memories and MT systems	Lingxiao Wang and Christian Boitet and Mathieu Mangeot	http://www.mt-archive.info/10/BUCC-2014-Wang-abs.htm			28-37	Machine translation
Comparability of corpora in human and machine translation	Ekaterina Lapshinova-Koltunski and Santanu Pal	http://www.mt-archive.info/10/BUCC-2014-Lapshinova.pdf			42-48	Machine translation
Identifying Japanese-Chinese bilingual synonymous technical terms from patent families	Zi Long and Lijuan Dong and Takehito Utsuro and Tomohara Mitsuhashi and Mikio Yamamoto	http://www.mt-archive.info/10/BUCC-2014-Long.pdf			49-54	Terminology
Revisiting comparable corpora in connected space	Pierre Zweigenbaum	http://www.mt-archive.info/10/BUCC-2014-Zweigenbaum.pdf			55-64	Terminology
