Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
MNH-TT: a collaborative platform for translator training.	Bogdan Babych and Anthony Hartley and Kyo Kageura and Martin Thomas and Masao Utiyama	http://www.mt-archive.info/10/Aslib-2012-Babych.pdf				
The translation process. 	Felicity Hands		http://www.mt-archive.info/10/Aslib-2012-Hands-ppt.pdf			
TAPTA4UN: collaboration on machine translation between the World Intellectual Property Organization and the United Nations.	Cecilia Elizalde and Bruno Pouliquen and Christophe Mazenc and José García-Verdugo	http://www.mt-archive.info/10/Aslib-2012-Elizalde.pdf				
MT@EC: working with translators.	Markus Foti	http://www.mt-archive.info/10/Aslib-2012-Foti.pdf				
PET: a standalone tool for assessing machine translation through post-editing.	Wilker Aziz and Lucia Specia	http://www.mt-archive.info/10/Aslib-2012-Aziz.pdf				
Experiments on domain-specific statistical machine translation at the European Parliament. 	Konstantinos Chatzitheodorou and Alexandros Poulis		http://www.mt-archive.info/10/Aslib-2012-Poulis-ppt.pdf			
The next generation translator’s workbench: post-editing in CASMACAT v.1.0. 	Bartolomé Mesa-Lao		http://www.mt-archive.info/10/Aslib-2012-Mesa-Lao-ppt.pdf			
In the driver’s seat: perceptions of control as indicators of language professionals’ satisfaction with technologies in the workplace.	Elizabeth Marshman	http://www.mt-archive.info/10/Aslib-2012-Marshman.pdf				
Machine translation at Microsoft. 	Chris Wendt		http://www.mt-archive.info/10/Aslib-2012-Wendt-ppt.pdf			
Linport as a standard for interoperability between translation systems.	Alan K.Melby and Tyler A.Snow	http://www.mt-archive.info/10/Aslib-2012-Melby.pdf				
Hunting the snark: the problem posed for MT by non-catenative morphologies.	Jon Riding	http://www.mt-archive.info/10/Aslib-2012-Riding.pdf				
What else can databases do to assist translators? Illustrating a rated inventory of Web dictionaries.	Valeria Caruso and Anna De Meo	http://www.mt-archive.info/10/Aslib-2012-Caruso.pdf				
MT@EC: working with translators.	Markus Foti	http://www.mt-archive.info/10/Aslib-2012-Foti.pdf				
Beyond translation memories: finding similar documents in comparable corpora.	Serge Sharoff	http://www.mt-archive.info/10/Aslib-2012-Sharoff.pdf				
How long is a piece of string? Concordance searches and user behavior investigated.	Paola Valli	http://www.mt-archive.info/10/Aslib-2012-Valli.pdf				
Terminology: don’t only collect it, use it!	Vesna Lušicky and Tanja Wissik	http://www.mt-archive.info/10/Aslib-2012-Lusicky.pdf				
ProTermino: a comprehensive web-based terminological management tool based on knowledge representation. 	Isabel Durán Muñoz and Gloria Corpas Pastor and Le An Ha	http://www.mt-archive.info/10/Aslib-2012-Duran-Munoz.pdf				
